NO;PROVINSI;H. ANIES RASYID BASWEDAN, Ph.D. - Dr. (H.C.) H. A. MUHAIMIN ISKANDAR;H. PRABOWO SUBIANTO - GIBRAN RAKABUMING RAKA;H. GANJAR PRANOWO, S.H., M.I.P. - Prof. Dr. H. M. MAHFUD MD
1;ACEH;2369534;787024;64677
2;SUMATERA UTARA;2339620;4660408;999528
3;SUMATERA BARAT;1744042;1217314;124044
4;RIAU;1400093;1931113;357298
5;JAMBI;532605;1438952;234251
6;SUMATERA SELATAN;997299;3649651;606681
7;BENGKULU;229681;893499;145570
8;LAMPUNG;791892;3554310;764486
9;KEPULAUAN BANGKA BELITUNG;204348;529883;151109
10;KEPULAUAN RIAU;370671;641388;140733
11;DKI JAKARTA;2653762;2692011;1115138
12;JAWA BARAT;9099674;16805854;2820995
13;JAWA TENGAH;2866373;12096454;7827335
14;DAERAH ISTIMEWA YOGYAKARTA;496280;1269265;741220
15;JAWA TIMUR;4492652;16716603;4434805
16;BANTEN;2451383;4035052;720275
17;BALI;99233;1454640;1127134
18;NUSA TENGGARA BARAT;850539;2154843;241106
19;NUSA TENGGARA TIMUR;153446;1798753;958505
20;KALIMANTAN BARAT;718641;1964183;534450
21;KALIMANTAN TENGAH;256811;1097070;158788
22;KALIMANTAN SELATAN;849948;1407684;159950
23;KALIMANTAN TIMUR;448046;1542346;240143
24;KALIMANTAN UTARA;72065;284209;51451
25;SULAWESI UTARA;119103;1229069;283796
26;SULAWESI TENGAH;386743;1251313;160594
27;SULAWESI SELATAN;2003081;3010726;265948
28;SULAWESI TENGGARA;361585;1113344;90727
29;GORONTALO;227354;504662;41508
30;SULAWESI BARAT;223153;533757;62514
31;MALUKU;228557;665371;186395
32;MALUKU UTARA;200459;454943;91293
33;PAPUA;67592;378908;178534
34;PAPUA BARAT;37459;172965;120565
35;PAPUA SELATAN;41906;162852;110003
36;PAPUA TENGAH;128577;638616;335089
37;PAPUA PEGUNUNGAN;284184;838382;175956
38;PAPUA BARAT DAYA;48405;209403;99899
39;LUAR NEGERI;125110;427871;118385
